cpu_usage,mem_usage
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.3,15360
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
0.2,10240
