post_value,cpu_usage
73,8.313562676561357
205,8.313562676561357
376,8.313562676561357
608,20.027027057288777
893,20.027027057288777
1226,20.027027057288777
1569,130.89768931483326
1940,130.89768931483326
2317,130.89768931483326
2693,244.17611527797607
3088,244.17611527797607
3499,244.17611527797607
3915,287.7681930840216
4353,287.7681930840216
4792,287.7681930840216
5241,316.6270251316893
5713,316.6270251316893
6185,316.6270251316893
6675,336.33726743714556
7183,336.33726743714556
7706,336.33726743714556
8233,381.0063264922552
8785,381.0063264922552
9347,381.0063264922552
9913,410.1712919518733
10484,410.1712919518733
11069,410.1712919518733
11653,435.21584324467653
12264,435.21584324467653
12890,435.21584324467653
13493,459.7184183019215
14082,459.7184183019215
14639,459.7184183019215
15197,486.79854300663783
15731,486.79854300663783
16245,486.79854300663783
16736,463.32718565285137
17213,463.32718565285137
17661,463.32718565285137
18120,419.96741470184395
18553,419.96741470184395
18964,419.96741470184395
19345,377.2483987549399
19703,377.2483987549399
20050,377.2483987549399
20360,325.1826237620858
20667,325.1826237620858
20962,325.1826237620858
21241,289.30461259525634
21491,289.30461259525634
21730,289.30461259525634
21941,240.68737605928368
22134,240.68737605928368
22304,240.68737605928368
22455,190.97413510578377
22596,190.97413510578377
22702,190.97413510578377
22795,143.27929391909834
22862,143.27929391909834
22917,143.27929391909834
22973,93.29092000425004
33114,8.313562676561357
33417,8.313562676561357
33649,20.027027057288777
33934,20.027027057288777
34267,20.027027057288777
34610,130.89768931483326
34981,130.89768931483326
35358,130.89768931483326
35734,244.17611527797607
36129,244.17611527797607
36540,244.17611527797607
36956,287.7681930840216
37394,287.7681930840216
37833,287.7681930840216
38282,316.6270251316893
38754,316.6270251316893
39226,316.6270251316893
39716,336.3372674371456
40224,336.3372674371456
40747,336.3372674371456
41274,381.0063264922552
41826,381.0063264922552
42388,381.0063264922552
42954,410.1712919518733
43525,410.1712919518733
44110,410.1712919518733
44694,435.2158432446765
45305,435.2158432446765
45931,435.2158432446765
46534,459.7184183019215
47123,459.7184183019215
47680,459.7184183019215
48238,486.7985430066378
48772,486.7985430066378
49286,486.7985430066378
49777,463.32718565285137
50254,463.32718565285137
50702,463.32718565285137
51161,419.967414701844
51594,419.967414701844
52005,419.967414701844
52386,377.2483987549399
52744,377.2483987549399
53091,377.2483987549399
53401,325.1826237620858
53708,325.1826237620858
54003,325.1826237620858
54282,289.30461259525634
54532,289.30461259525634
54771,289.30461259525634
54982,240.68737605928368
55175,240.68737605928368
55345,240.68737605928368
55496,190.97413510578377
55637,190.97413510578377
55743,190.97413510578377
55836,143.27929391909834
55903,143.27929391909834
55958,143.27929391909834
56014,93.29092000425004
